station_id,date,voltage,current,temperature,leak_detected,charging_sessions,fault_occurred,revenue_inr,latitude,longitude
102,2025-09-14,231.09,12.69,36.23,1,50,0,15000,18.49444,73.99874
102,2025-09-15,229.16,24.43,48.74,0,72,0,21600,18.49444,73.99874
102,2025-09-16,210.42,17.11,52.79,1,29,1,8700,18.49444,73.99874
102,2025-09-17,220.26,29.06,30.05,1,69,1,20700,18.49444,73.99874
102,2025-09-18,227.26,24.27,44.54,0,23,1,6900,18.49444,73.99874
102,2025-09-19,230.72,13.23,45.12,0,40,0,12000,18.49444,73.99874
102,2025-09-20,214.17,26.38,25.44,0,37,1,11100,18.49444,73.99874
102,2025-09-21,215.69,12.15,46.75,0,53,0,15900,18.49444,73.99874
102,2025-09-22,231.08,21.19,47.24,0,72,0,21600,18.49444,73.99874
102,2025-09-23,234.24,27.47,28.76,0,56,1,16800,18.49444,73.99874
102,2025-09-24,234.4,10.38,26.52,0,44,0,13200,18.49444,73.99874
102,2025-09-25,219.35,15.96,51.41,0,60,1,18000,18.49444,73.99874
102,2025-09-26,227.56,26.08,51.63,1,38,0,11400,18.49444,73.99874
102,2025-09-27,235.88,22.97,52.89,0,39,1,11700,18.49444,73.99874
102,2025-09-28,223.25,16.58,34.38,0,100,0,30000,18.49444,73.99874
102,2025-09-29,237.05,13.12,34.09,0,28,0,8400,18.49444,73.99874
102,2025-09-30,229.31,21.89,31.11,1,26,1,7800,18.49444,73.99874
102,2025-10-01,236.26,11.21,47.71,0,96,0,28800,18.49444,73.99874
102,2025-10-02,237.05,28.92,45.26,0,53,0,15900,18.49444,73.99874
102,2025-10-03,237.9,18.91,52.4,0,73,0,21900,18.49444,73.99874
102,2025-10-04,213.41,18.88,59.86,0,93,0,27900,18.49444,73.99874
102,2025-10-05,234.85,30.25,26.19,0,42,0,12600,18.49444,73.99874
102,2025-10-06,231.44,26.75,27.58,0,62,0,18600,18.49444,73.99874
102,2025-10-07,220.72,28.91,29.96,0,75,0,22500,18.49444,73.99874
102,2025-10-08,237.17,26.24,58.23,0,91,0,27300,18.49444,73.99874
102,2025-10-09,233.88,25.27,49.95,1,40,0,12000,18.49444,73.99874
102,2025-10-10,236.42,25.98,43.72,0,86,0,25800,18.49444,73.99874
102,2025-10-11,217.21,18.93,49.74,0,45,0,13500,18.49444,73.99874
102,2025-10-12,217.6,18.03,55.39,0,45,0,13500,18.49444,73.99874
102,2025-10-13,239.69,25.82,29.55,0,21,1,6300,18.49444,73.99874
