station_id,date,voltage,current,temperature,leak_detected,charging_sessions,fault_occurred,revenue_inr,latitude,longitude
104,2025-09-14,223.21,12.83,54.89,0,66,1,19800,18.49012,74.04731
104,2025-09-15,222.76,17.04,51.16,0,59,0,17700,18.49012,74.04731
104,2025-09-16,220.1,20.56,32.25,1,33,0,9900,18.49012,74.04731
104,2025-09-17,217.94,31.88,46.67,0,31,0,9300,18.49012,74.04731
104,2025-09-18,213.19,24.86,56.81,1,70,1,21000,18.49012,74.04731
104,2025-09-19,225.66,14.35,44.71,0,77,0,23100,18.49012,74.04731
104,2025-09-20,210.91,25.1,58.62,0,36,0,10800,18.49012,74.04731
104,2025-09-21,220.73,16.85,42.65,0,77,0,23100,18.49012,74.04731
104,2025-09-22,232.25,22.23,40.74,0,27,1,8100,18.49012,74.04731
104,2025-09-23,212.53,17.53,26.69,0,79,0,23700,18.49012,74.04731
104,2025-09-24,217.3,17.43,39.51,0,91,1,27300,18.49012,74.04731
104,2025-09-25,210.89,12.91,57.27,0,61,0,18300,18.49012,74.04731
104,2025-09-26,227.74,28.18,40.7,0,91,1,27300,18.49012,74.04731
104,2025-09-27,221.34,26.77,58.74,0,72,0,21600,18.49012,74.04731
104,2025-09-28,219.89,16.99,44.25,0,27,1,8100,18.49012,74.04731
104,2025-09-29,215.39,27.92,37.26,0,82,0,24600,18.49012,74.04731
104,2025-09-30,227.89,29.54,49.15,0,33,1,9900,18.49012,74.04731
104,2025-10-01,224.9,17.68,57.51,1,61,1,18300,18.49012,74.04731
104,2025-10-02,226.08,18.51,58.8,0,31,0,9300,18.49012,74.04731
104,2025-10-03,229.76,17.19,38.82,0,23,0,6900,18.49012,74.04731
104,2025-10-04,219.96,20.23,33.17,0,96,0,28800,18.49012,74.04731
104,2025-10-05,229.82,12.49,30.01,0,35,0,10500,18.49012,74.04731
104,2025-10-06,215.52,24.28,51.11,1,34,0,10200,18.49012,74.04731
104,2025-10-07,216.32,25.69,50.36,0,90,0,27000,18.49012,74.04731
104,2025-10-08,213.9,11.74,53.78,0,27,1,8100,18.49012,74.04731
104,2025-10-09,213.0,25.13,51.77,0,30,0,9000,18.49012,74.04731
104,2025-10-10,225.71,15.91,44.98,0,90,1,27000,18.49012,74.04731
104,2025-10-11,215.86,18.09,51.09,0,94,0,28200,18.49012,74.04731
104,2025-10-12,224.61,26.22,56.32,0,85,0,25500,18.49012,74.04731
104,2025-10-13,222.11,25.82,26.43,0,70,0,21000,18.49012,74.04731
