station_id,date,voltage,current,temperature,leak_detected,charging_sessions,fault_occurred,revenue_inr,latitude,longitude
105,2025-09-14,237.27,14.5,43.11,0,74,0,22200,18.51774,73.97399
105,2025-09-15,220.24,25.92,45.57,0,32,0,9600,18.51774,73.97399
105,2025-09-16,238.84,26.42,54.72,0,73,0,21900,18.51774,73.97399
105,2025-09-17,220.45,15.01,57.84,0,72,1,21600,18.51774,73.97399
105,2025-09-18,225.99,13.76,34.16,1,99,0,29700,18.51774,73.97399
105,2025-09-19,218.34,13.9,32.35,0,38,0,11400,18.51774,73.97399
105,2025-09-20,218.98,10.88,43.47,0,83,1,24900,18.51774,73.97399
105,2025-09-21,215.06,30.57,47.29,0,26,0,7800,18.51774,73.97399
105,2025-09-22,217.57,22.02,48.48,0,30,0,9000,18.51774,73.97399
105,2025-09-23,220.07,10.5,55.12,0,24,0,7200,18.51774,73.97399
105,2025-09-24,226.16,18.03,35.03,0,92,0,27600,18.51774,73.97399
105,2025-09-25,235.65,15.32,34.35,0,40,1,12000,18.51774,73.97399
105,2025-09-26,239.29,28.2,28.1,0,36,1,10800,18.51774,73.97399
105,2025-09-27,222.91,13.64,35.63,0,76,0,22800,18.51774,73.97399
105,2025-09-28,236.11,28.76,55.97,0,100,0,30000,18.51774,73.97399
105,2025-09-29,229.68,14.39,32.6,0,22,1,6600,18.51774,73.97399
105,2025-09-30,239.84,13.33,40.65,0,72,0,21600,18.51774,73.97399
105,2025-10-01,231.93,15.31,42.16,0,58,1,17400,18.51774,73.97399
105,2025-10-02,220.46,15.18,37.58,1,23,0,6900,18.51774,73.97399
105,2025-10-03,225.98,30.52,33.91,1,97,0,29100,18.51774,73.97399
105,2025-10-04,222.12,17.83,47.36,1,40,0,12000,18.51774,73.97399
105,2025-10-05,232.15,27.65,37.5,0,65,0,19500,18.51774,73.97399
105,2025-10-06,236.94,13.8,25.15,1,67,1,20100,18.51774,73.97399
105,2025-10-07,210.97,12.04,46.38,0,82,0,24600,18.51774,73.97399
105,2025-10-08,228.8,25.05,44.22,0,28,1,8400,18.51774,73.97399
105,2025-10-09,216.37,28.13,54.72,1,43,0,12900,18.51774,73.97399
105,2025-10-10,234.37,29.42,30.71,0,28,0,8400,18.51774,73.97399
105,2025-10-11,231.5,25.84,28.08,0,98,0,29400,18.51774,73.97399
105,2025-10-12,233.71,22.91,26.13,0,81,0,24300,18.51774,73.97399
105,2025-10-13,213.99,16.75,55.46,0,25,0,7500,18.51774,73.97399
