station_id,date,voltage,current,temperature,leak_detected,charging_sessions,fault_occurred,revenue_inr,latitude,longitude
101,2025-09-14,238.09,23.17,54.83,0,84,1,25200,18.48935,74.0416
101,2025-09-15,218.09,18.05,37.68,1,96,0,28800,18.48935,74.0416
101,2025-09-16,231.27,16.27,27.51,0,66,0,19800,18.48935,74.0416
101,2025-09-17,212.34,26.61,45.07,0,76,0,22800,18.48935,74.0416
101,2025-09-18,217.2,30.91,42.27,0,37,0,11100,18.48935,74.0416
101,2025-09-19,210.49,10.52,51.56,0,52,1,15600,18.48935,74.0416
101,2025-09-20,234.17,29.11,27.49,0,61,1,18300,18.48935,74.0416
101,2025-09-21,217.73,21.58,53.88,0,58,0,17400,18.48935,74.0416
101,2025-09-22,232.74,31.17,46.51,0,25,0,7500,18.48935,74.0416
101,2025-09-23,222.86,14.62,53.02,1,58,1,17400,18.48935,74.0416
101,2025-09-24,225.34,19.78,50.22,0,57,1,17100,18.48935,74.0416
101,2025-09-25,218.17,15.69,53.97,1,35,0,10500,18.48935,74.0416
101,2025-09-26,215.56,18.25,41.72,0,43,0,12900,18.48935,74.0416
101,2025-09-27,233.76,24.31,37.4,0,59,0,17700,18.48935,74.0416
101,2025-09-28,228.04,30.27,43.24,0,32,0,9600,18.48935,74.0416
101,2025-09-29,234.18,14.65,44.78,0,37,0,11100,18.48935,74.0416
101,2025-09-30,229.77,20.64,49.94,0,36,0,10800,18.48935,74.0416
101,2025-10-01,234.97,17.34,45.49,0,36,0,10800,18.48935,74.0416
101,2025-10-02,235.61,30.23,34.95,0,81,1,24300,18.48935,74.0416
101,2025-10-03,230.53,16.27,25.44,1,91,0,27300,18.48935,74.0416
101,2025-10-04,213.36,27.16,45.12,0,39,0,11700,18.48935,74.0416
101,2025-10-05,225.48,27.34,55.31,0,72,0,21600,18.48935,74.0416
101,2025-10-06,223.74,23.22,56.05,1,25,0,7500,18.48935,74.0416
101,2025-10-07,223.02,16.64,47.94,0,47,1,14100,18.48935,74.0416
101,2025-10-08,235.69,12.11,43.19,1,81,0,24300,18.48935,74.0416
101,2025-10-09,216.54,22.06,27.39,0,97,0,29100,18.48935,74.0416
101,2025-10-10,212.09,25.27,28.13,1,43,1,12900,18.48935,74.0416
101,2025-10-11,219.78,29.85,27.22,0,66,1,19800,18.48935,74.0416
101,2025-10-12,225.26,25.67,49.36,0,61,1,18300,18.48935,74.0416
101,2025-10-13,237.43,18.25,51.45,0,26,1,7800,18.48935,74.0416
